fecha,saldo_rem,mau_rem,dau_rem,saldo_crecimiento_absoluto_diario,saldo_crecimiento_pct_diario,saldo_crecimiento_absoluto_semanal,saldo_crecimiento_pct_semanal,saldo_crecimiento_absoluto_mensual,saldo_crecimiento_pct_mensual,saldo_ma7,crecimiento_diario_ma7,año_mes
2025-02-26,83896.68262,151802,87397,551.4335050000082,0.6616256005655963,2535.2202430000034,3.1159964053407707,19115.331348000007,29.507460052414956,82743.946201,0.4396900319770041,2025-02
2025-02-27,85144.472164,153191,87916,1247.7895439999993,1.4872930669401097,3455.4038419999997,4.229946445685462,19760.531957000007,30.222302134805346,83237.57532128572,0.5946383362675738,2025-02
2025-02-28,88754.942982,155684,92229,3610.470817999987,4.240405426491711,6804.333005999986,8.302968102363973,22358.56268399999,33.67436987325267,84209.62289357142,1.1546723596614366,2025-02
2025-03-01,92714.030088,98490,98490,3959.0871060000063,4.460694777081797,10134.108733999994,12.271879856312218,24623.781090000004,36.163446972742406,85657.35271271427,1.6822122665590846,2025-03
2025-03-02,93264.808728,104939,99622,550.7786400000041,0.5940618043215551,10338.57327800001,12.467192344977018,21830.001837999996,30.559334851447506,87134.29175242859,1.7071684669867717,2025-03
2025-03-03,93011.211571,109254,99388,-253.5971569999965,-0.27191087448599216,10191.355001000004,12.305448745116077,18401.867882000006,24.664294004120933,88590.19960971428,1.6866499610185142,2025-03
2025-03-04,93013.666675,114176,99416,2.455103999993298,0.002639578561036693,9668.417560000002,11.600442331943238,17554.164764999994,23.263027611733666,89971.40211828573,1.5964013399251162,2025-03
2025-03-05,93030.550489,118924,100033,16.88381400000071,0.01815197121406431,9133.867868999994,10.887042948254289,17285.624652,22.82083513976627,91276.24038528571,1.5044765357320402,2025-03
2025-03-06,93177.104727,123712,100514,146.55423799999699,0.15753345243003647,8032.632562999992,9.434121040210375,17071.366888999997,22.431116725178345,92423.75932285715,1.3145108765163156,2025-03
2025-03-07,93447.804817,127871,100549,270.70008999999845,0.29052210925970545,4692.861835000003,5.287437158234387,17172.027713000003,22.513081301795722,93094.16815642857,0.7502418311974576,2025-03
2025-03-08,93821.626635,130845,100055,373.8218179999967,0.40003274419559975,1107.5965469999937,1.1946374739062904,17295.088919999995,22.600119431000955,93252.39623457144,0.17014725507085796,2025-03
2025-03-09,93501.709323,132577,98579,-319.9173119999905,-0.3409846146076534,236.90059499999916,0.25400855717283566,16535.572168,21.484217318454558,93286.23917671428,0.03656919522382816,2025-03
2025-03-10,92678.929467,134150,97460,-822.7798560000083,-0.8799623685570634,-332.2821040000126,-0.35724951689976026,15119.658150999996,19.494327234455213,93238.7703047143,-0.05029530392918202,2025-03
2025-03-11,92357.145817,135954,96677,-321.7836499999976,-0.34720259702025746,-656.5208580000035,-0.7058326818723981,14842.655610999995,19.148233538728874,93144.9816107143,-0.10027275758365262,2025-03
2025-03-12,92612.268538,137672,96167,255.122721000007,0.2762349558804278,-418.2819509999972,-0.44961783930264065,15417.768261999998,19.972625260705822,93085.22704628571,-0.06340375977417212,2025-03
2025-03-13,92696.324958,139291,95737,84.05641999999352,0.09076164673096354,-480.77976900000067,-0.5159848767662845,15185.939201000001,19.592134721931174,93016.54422214285,-0.07294258915975396,2025-03
2025-03-14,93259.502742,140951,96005,563.1777839999995,0.6075513611301986,-188.3020749999996,-0.20150508122556143,15000.19743,19.167302048233136,92989.64392571429,-0.027652696035397804,2025-03
2025-03-15,94151.380558,143237,97113,891.8778160000074,0.9563398793443811,329.7539230000111,0.35146898942912674,15437.62397500001,19.612358303242395,93036.75162900002,0.051819751842999535,2025-03
2025-03-16,93807.077114,144713,96221,-344.3034440000047,-0.3656913387349636,305.36779099999694,0.3265905973388161,14328.689224999995,18.028409490403252,93080.37559914286,0.04829021982481236,2025-03
2025-03-17,92576.043556,145861,94113,-1231.0335579999955,-1.3123035019031337,-102.8859109999903,-0.11101327086069368,12439.346243000007,15.522658981582538,93065.67761185714,-0.01347279922462625,2025-03
2025-03-18,92075.3369,147249,93096,-500.7066560000094,-0.540859856143161,-281.8089170000021,-0.30512952138905813,11884.511891999995,14.820288843286455,93025.41919514285,-0.04113812195646961,2025-03
2025-03-19,92370.539464,148749,92775,295.20256400000653,0.3206098114206357,-241.72907400000258,-0.26101193482893636,12165.908527000007,15.168586133830875,92990.88647028572,-0.034798856879297055,2025-03
2025-03-20,92561.366806,150744,93366,190.82734200000414,0.20658896560237228,-134.95815199999197,-0.14559169639264402,12024.663289000004,14.930662373661452,92971.60673428573,-0.018252097040524377,2025-03
2025-03-21,93158.677119,152868,94067,597.3103129999945,0.6453127623448962,-100.825622999997,-0.10811297512375306,11797.214741999996,14.499757498624977,92957.20307385715,-0.01285761115271043,2025-03
2025-03-22,94091.277213,154746,94112,932.600093999994,1.0010877385138173,-60.10334500001045,-0.06383692373260752,12402.208890999987,15.182213661824683,92948.61688171429,-0.006465059842790983,2025-03
2025-03-23,94501.64408,156027,93400,410.3668670000043,0.4361369928808978,694.5669659999985,0.7404206456149476,12551.034103999991,15.31536386083725,93047.840734,0.10808184467376065,2025-03
2025-03-24,94428.028412,157013,92323,-73.61566799999855,-0.07789882251961755,1851.9848559999955,2.0005011932484607,11848.107057999994,14.347442893787754,93312.40999914285,0.2844253702999772,2025-03
2025-03-25,94815.983226,158260,91963,387.954813999997,0.41084709754535265,2740.646326000002,2.976525982171019,11889.747776000004,14.337739692969521,93703.93090285713,0.4203835065411935,2025-03
2025-03-26,95306.089923,159470,91999,490.1066970000102,0.5169030371512395,2935.5504590000055,3.178015930224265,12486.233353000003,15.076376451396701,94123.29525414285,0.4484253959312797,2025-03
2025-03-27,95784.561778,160694,91915,478.47185499999614,0.5020370213346892,3223.1949719999975,3.4822249100486147,12439.312663000004,14.92504107323047,94583.75167871428,0.49063226103589647,2025-03
2025-03-28,97724.290961,162341,93692,1939.729183000003,2.0250958473827074,4565.613842000006,4.900900252338203,13827.608341,16.481710491022028,95235.98222757143,0.6877441303270123,2025-03
2025-03-29,100359.249498,164535,96989,2634.9585369999986,2.696318910158757,6267.972285000011,6.661586993670876,15214.777333999999,17.86936596975344,96131.40683971428,0.9299200119905751,2025-03
2025-03-30,101584.196381,166450,98692,1224.946882999997,1.2205620200701262,7082.552301000003,7.4946339504996295,12829.253399000008,14.454691725284373,97143.20002557142,1.0419807301604649,2025-03
2025-03-31,102596.501209,168003,99882,1012.304827999993,0.9965180255039563,8168.472796999995,8.65047479479295,9882.471120999995,10.659089149312129,98310.12471085716,1.1954688513066898,2025-03
2025-04-01,104178.469733,103368,103368,1581.9685240000108,1.5419322348794173,9362.486507000009,9.874375805062229,10913.661005000002,11.701799589627537,99647.62278328573,1.3570524423544132,2025-04
2025-04-02,104716.395911,110740,105072,537.9261779999943,0.516350623481654,9410.305987999993,9.873771965257205,11705.184339999993,12.584702577564922,100991.95221014286,1.356973526115901,2025-04
2025-04-03,105161.118361,116242,105898,444.7224500000011,0.4246922806415032,9376.556582999998,9.789214889067456,12147.451686,13.059856814853376,102331.46029342858,1.345924277445446,2025-04
2025-04-04,105439.508978,121206,106741,278.3906169999973,0.2647277067217235,7715.218016999992,7.894882573339923,12408.958488999997,13.338584393808617,103433.63429585715,1.0944431144938769,2025-04
2025-04-05,105583.760737,126792,107325,144.25175900000613,0.13680996848164373,5224.5112389999995,5.205809394882044,12406.656010000006,13.315133633257137,104179.9930442857,0.7287989799685748,2025-04
2025-04-06,104782.583656,130108,106083,-801.1770810000016,-0.7588071076532921,3198.387275000001,3.1485087138989343,11334.778839000006,12.129529271658157,104636.90551214285,0.4460319617223723,2025-04
2025-04-07,104055.836724,132660,104857,-726.7469320000091,-0.6935760759497089,1459.3355149999988,1.4224028088708263,10234.210089,10.908156739612673,104845.3820142857,0.20458994722899154,2025-04
2025-04-08,103761.152277,135386,104262,-294.68444699999236,-0.28319838298126454,-417.3174560000043,-0.4005793683373837,10259.442953999998,10.972465667508736,104785.76523485713,-0.05614299817967731,2025-04
2025-04-09,103900.185164,137766,103931,139.03288699999393,0.13399319875402327,-816.2107470000046,-0.7794488531611798,11221.255697,12.107666501473279,104669.16369957142,-0.11076548742648169,2025-04
2025-04-10,103726.44882,139816,103354,-173.7363439999899,-0.16721466253958317,-1434.6695409999957,-1.3642585428532805,11369.303003000008,12.310149802082005,104464.210908,-0.19532362216663687,2025-04
2025-04-11,103923.162583,142036,103149,196.71376299999247,0.1896466766555971,-1516.3463950000005,-1.4381197424927161,11310.894044999994,12.213170267348538,104247.58999442856,-0.20604948360465494,2025-04
2025-04-12,104093.553783,144090,102110,170.3911999999982,0.16395882858541988,-1490.2069540000084,-1.4113978736862598,11397.228824999998,12.29523266447079,104034.70328671428,-0.2021710750184012,2025-04
2025-04-13,103942.66684,145385,100574,-150.88694299999042,-0.14495320556980884,-839.9168159999972,-0.8015805553692301,10683.164098000008,11.455308878876092,103914.71517014285,-0.11447766043504647,2025-04
2025-04-14,103505.550567,146522,99160,-437.1162730000069,-0.4205359418696264,-550.286156999995,-0.5288373764747001,9354.170008999994,9.935244659782283,103836.102862,-0.07547192699503467,2025-04
2025-04-15,103819.530566,148372,99724,313.97999900000286,0.30334604983019986,58.37828900000022,0.05626218263667937,10012.453452000002,10.673452110475923,103844.44261757143,0.008320134835174528,2025-04
2025-04-16,104566.536385,150308,100992,747.0058189999982,0.7195234027041808,666.3512210000044,0.6413378570482964,11990.492828999995,12.952047169467606,103939.63564914286,0.09196730682805418,2025-04
2025-04-17,105462.06539,152251,101510,895.529005000004,0.8564202621216932,1735.6165699999983,1.673263270597336,13386.728490000009,14.53888624327153,104187.58087342857,0.2382008674939508,2025-04
2025-04-18,106380.51394,154179,101954,918.448550000001,0.87088048826236,2457.351357000007,2.3645848489622256,14009.974476000003,15.16714588579422,104538.6310672857,0.33551998343777406,2025-04
2025-04-19,106493.63358,155468,100808,113.11963999998989,0.10633492527003519,2400.0797969999985,2.3056949347731504,13932.266773999989,15.051924204188483,104881.49960971429,0.32728799724986196,2025-04
2025-04-20,106113.332463,156375,99312,-380.30111699999543,-0.3571115983325934,2170.6656229999935,2.088329738875494,12954.655343999999,13.906010416455183,105191.59469871428,0.29697965542660704,2025-04
2025-04-21,105489.247481,157305,97804,-624.0849820000003,-0.5881306029264621,1983.696914,1.9165125958302553,11397.970268000005,12.113737432002058,105474.97997214286,0.2730375609899162,2025-04
2025-04-22,105450.368164,158568,97230,-38.87931699999899,-0.036856189543865714,1630.8375979999983,1.5708389251126942,10948.724084000001,11.585749846564998,105707.95677185713,0.2244372410793354,2025-04
2025-04-23,105815.177234,159798,97042,364.809070000003,0.34595333933082895,1248.640849000003,1.1941113210469867,11387.148822000003,12.059077176022992,105886.334036,0.17107008916885658,2025-04
2025-04-24,106368.557751,161036,96927,553.3805169999978,0.5229689459161913,906.4923609999969,0.8595435312666933,11552.574525000004,12.184205797311298,106015.83294471428,0.12343418685378486,2025-04
2025-04-25,108034.916302,162723,98001,1666.3585509999975,1.5665894003195957,1654.4023619999934,1.5551742520562462,12728.826378999991,13.355732450343849,106252.17613928572,0.22282117429053283,2025-04
2025-04-26,108923.285277,164330,98488,888.3689750000049,0.8222980175378369,2429.6516970000084,2.2814994806002353,13138.723499,13.716953186518332,106599.26923885716,0.3251016160430759,2025-04
2025-04-27,109105.923154,165338,97482,182.63787700000103,0.16767569628068912,2992.590691000005,2.820183497717843,11381.632192999998,11.646676666645961,107026.7821947143,0.40007122955925917,2025-04
2025-04-28,109067.248533,166263,96594,-38.6746209999983,-0.03544685740425324,3578.001052000007,3.3918158840259505,8707.999035,8.676827575492707,107537.92520214287,0.47902605034814616,2025-04
2025-04-29,110181.357824,167644,97294,1114.1092910000007,1.0214883991163548,4730.989660000007,4.4864610170371355,8597.161443000005,8.46308948564758,108213.78086785715,0.6302181344424633,2025-04
2025-04-30,113870.04236,170216,102559,3688.6845360000007,3.347829985805939,8054.865126000004,7.612202083437847,11273.541151000012,10.98823158504656,109364.47588585714,1.059057655367479,2025-04
2025-05-01,117377.146981,109310,109310,3507.1046209999913,3.079918605731513,11008.589229999998,10.349476821684656,13198.677247999993,12.669294607443371,110937.13149014287,1.4243361781982393,2025-05
2025-05-02,118225.526079,116918,111921,848.3790980000049,0.7227804728780152,10190.609777000005,9.432700210099899,13509.130168000003,12.900682887789227,112392.93288685715,1.303792045706585,2025-05
2025-05-03,118579.17446,123646,112815,353.6483809999918,0.2991303085965402,9655.889182999992,8.864853055473265,13418.056098999994,12.759522063029149,113772.34562728573,1.229053801572114,2025-05
2025-05-04,118189.252364,127495,112183,-389.9220959999948,-0.32882847917913294,9083.329209999996,8.325239315540301,12749.743386000002,12.091998065601995,115069.96408585715,1.158124633649282,2025-05
2025-05-05,116771.673972,131178,111228,-1417.5783919999958,-1.1994139599378562,7704.425438999999,7.063922068840767,11187.913235,10.596244305853176,116170.59629142856,0.9918436190016247,2025-05
2025-05-06,116198.455628,136379,111371,-573.2183440000081,-0.4908881790437136,6017.09780399999,5.46108518068138,11415.871971999994,10.894818178446686,117030.18169200001,0.7757898221216151,2025-05
2025-05-07,116249.11733,139875,111472,50.661701999997604,0.04359929030570697,2379.074969999987,2.0892896153305474,12193.280606,11.718016970390366,117370.04954485713,0.30375686562158183,2025-05
2025-05-08,116187.820792,142890,111357,-61.29653799999505,-0.052728605092111636,-1189.3261889999994,-1.0132519145251595,12426.668514999998,11.976224475443242,117200.14580357143,-0.14376416449607884,2025-05
2025-05-09,116066.485998,145676,111308,-121.33479399999487,-0.1044298732628901,-2159.040080999999,-1.8262046722103853,12166.300834000009,11.709604573655241,116891.71150628572,-0.26193707108763675,2025-05
2025-05-10,115898.473511,148027,110041,-168.01248699999996,-0.14475538356774065,-2680.700948999991,-2.2606844424475803,12172.024690999999,11.734735768427317,116508.75422785713,-0.32534931282539115,2025-05
2025-05-11,115295.022681,149690,108081,-603.4508300000016,-0.5206719396030124,-2894.2296829999977,-2.4488095364935014,11371.860098000005,10.942565464092446,116095.29284457142,-0.35275552145737393,2025-05
2025-05-12,114661.245363,151057,106171,-633.7773180000077,-0.5497005016023571,-2110.4286090000096,-1.807312113643289,10567.691579999999,10.152109516819907,115793.80304328572,-0.2599393131237312,2025-05
2025-05-13,114461.436872,152789,105286,-199.80849099998886,-0.1742598297859277,-1737.0187559999904,-1.4948724977558392,10518.770032,10.11978079049256,115545.65750671427,-0.21470669180119037,2025-05
2025-05-14,114845.370547,154540,105331,383.93367499999295,0.33542622344444606,-1403.746782999995,-1.2075332830400187,11339.81998,10.955760263948001,115345.122252,-0.17301712992422763,2025-05
2025-05-15,115701.097162,156615,106745,855.7266150000069,0.7451119805040873,-486.72362999999314,-0.4189110585620881,11881.566596000004,11.44444261231432,115275.59030485713,-0.05903990341048493,2025-05
2025-05-16,116498.853878,158820,108052,797.756715999989,0.6894979698273795,432.3678799999907,0.3725174207543702,11932.317492999995,11.41121998061292,115337.35714485715,0.05437835988812502,2025-05
2025-05-17,117116.279519,160761,107800,617.4256410000089,0.5299843049499708,1217.8060079999996,1.0507524138222646,11654.214129,11.050621933016934,115511.32943171429,0.1507697439620838,2025-05
2025-05-18,117239.474551,162079,106643,123.19503200000327,0.10519035654648068,1944.4518700000044,1.686501138370855,10858.960611000002,10.207659475234898,115789.10827028572,0.2401786434120114,2025-05
2025-05-19,117008.16736,163275,105557,-231.30719099999988,-0.1972946329603209,2346.921997000012,2.0468310714487847,10514.533780000012,9.873391888822436,116124.38284128571,0.2905223389323023,2025-05
2025-05-20,117099.056917,164892,105526,90.88955699998769,0.07767795962512203,2637.6200449999887,2.304374396373854,10985.724453999996,10.352822024348862,116501.18570485714,0.3265134517053094,2025-05
2025-05-21,117319.7848,166408,105330,220.72788299999957,0.18849672133265383,2474.4142529999954,2.1545615998403322,11830.537318999995,11.214922469828824,116854.67345528571,0.3055235228321962,2025-05
2025-05-22,117196.900617,167864,104801,-122.88418299998739,-0.10474293249810307,1495.8034550000011,1.292817001472013,11746.532453000007,11.139394444532801,117068.35966314285,0.18411567811759758,2025-05
2025-05-23,118836.620872,170082,105331,1639.720254999993,1.3991157158316003,2337.766994000005,2.0066866893370117,13021.443637999997,12.30583738399298,117402.32637657142,0.28548964183248626,2025-05
2025-05-24,119228.831542,171036,105059,392.2106700000004,0.3300419240483521,2112.5520229999966,1.8038073201064098,12860.273791,12.09029628953402,117704.11952271429,0.2569264445608264,2025-05
2025-05-25,119270.735083,172049,104036,41.90354100000695,0.035145476524478525,2031.2605320000002,1.732573896103906,11235.818781000009,10.400173541664515,117994.2995987143,0.24692003312911184,2025-05
2025-05-26,119214.652683,173029,103126,-56.08240000001388,-0.0470210902624113,2206.4853229999862,1.8857532536265431,10291.36740599999,9.448271212007864,118309.51178771429,0.26838768208595604,2025-05
2025-05-27,119552.270987,174384,102805,337.61830400000326,0.28320201955187585,2453.214070000002,2.094990459008428,10446.347832999993,9.574501118747936,118659.97094057142,0.2977482620754923,2025-05
2025-05-28,120241.458975,175577,103025,689.1879880000051,0.5764741918411032,2921.6741750000074,2.490350779266004,11174.210441999996,10.245248314501175,119077.35296557144,0.3531736150052708,2025-05
2025-05-29,121770.131518,177138,104331,1528.6725429999933,1.2713356574605594,4573.230900999988,3.9021773416562766,11588.773693999989,10.517907859251018,119730.67166571427,0.5497562707136512,2025-05
2025-05-30,126398.607937,179657,109990,4628.476418999999,3.8009948427425444,7561.987064999994,6.363347434075117,12528.565576999987,11.002512440797151,120810.95553214286,0.8928818602723574,2025-05
2025-05-31,130137.143974,182571,116118,3738.5360370000126,2.9577351349180825,10908.312432000006,9.14905588767545,12759.996993000008,10.870938100979298,122369.28587957143,1.268266604682319,2025-05
2025-06-01,130642.949204,117457,117457,505.8052299999981,0.38867091635348405,11372.214120999997,9.534789999479854,12417.423125000001,10.503165887121968,123993.88789685714,1.3187702389436053,2025-06
